id,DC id,stars,hashtag,contents,weather,user1_gender,user1_age,user1_mbti,user2_gender,user2_age,user2_mbti
1,13,5,"[소확행, 친구, 힐링]",날씨랑 저희랑 너무 잘맞는 코스네요! 돈까스집 맘에 들어요,sunny_hot,female,30,ESFP,female,30,INTP
2,20,3.5,"[친구, 데이트, 인생샷, 이색]",코스 자체는 좋은데 남자 둘이서 오기엔 좀 별로네요.. 여친이랑 오시길,sunny_cold,male,18,INTJ,male,18,ISFP
3,2,4,"[식폭행, 데이트, 친구]",사진 찍기를 다른 걸로 바꾸니 훨 재밌네요 남성분들 두분이서 가는 분들 이렇게 하세요!,rainy_cold,male,20,INFP,male,20,ENTJ
4,19,5,"[오운완, 소확행, 친구, 가성비]",남자둘이서 맛있게 먹고 운동까지 하니까 넘 좋네요 ㅎㅎ,cloudy_cool,male,26,INFJ,male,26,ENFP
5,3,4,"[데이트, 친구, 이색, 인생샷]",미술관은 마음에 안들지만 색다른 경험이었어요 장마철 날씨 피하긴 좋네요,rainy_hot,male,26,INFJ,male,26,ENFP
6,8,3.5,"[식폭행, 텅장, 낭만]",비가 와서 산책이 유쾌하진 않았지만 카페가 마음에 드네요 :),rainy_warm,female,18,ESFP,female,19,ENTP
7,16,5,"[식폭행, 데이트, 친구, 이색, JMT, 추억]",서문야시장 너무 좋네요 또 가야징,cloudy_cold,female,18,ESFP,female,19,ENTP
8,7,4.5,"[소확행, 힐링, 가성비]",수성구에서 만나서 잼게 놀았슴다 ㅎㅎ,sunny_cold,female,18,ESFP,female,19,ENTP
9,15,4,"[소확행, 데이트, 인생샷, 낭만, 추억, 자연]",열음에 고양이가 넘 기여워요 ㅎㅎ 춥긴 했지만 신천도 좋았슴다,snowy_cold,female,27,ESFP,female,27,ENFP
10,8,4,"[식폭행, 친구, 힐링]",비가 와서 산책이 별로였어여..,rainy_warm,female,33,ESFP,female,36,ENTP
11,13,4.5,"[소확행, 데이트, 친구, 힐링]",더워서 산책이 별로긴 했지만 좋네요,sunny_hot,female,17,ISTP,female,17,ESTP
12,8,5,"[데이트, 소확행, 힐링]",경대 엄청 이쁘고 좋네요 ㅎㅎ,sunny_cool,female,17,ISTP,female,17,ESTP
13,2,3.5,"[식폭행, 데이트, 썸, JMT, 텅장]",돈이 너무 많이 드네요ㅠㅠ,sunny_warm,male,17,ENTP,male,19,INFJ
14,18,4,"[식폭행, 힐링, 추억, 텅장]",다 웨이팅 있는거였지만 웨이팅하면서 친구랑 오랜만에 수다떨었네요 ㅎㅎ,cloudy_warm,female,24,ISTP,female,24,ISTJ
15,6,5,"[식폭행, 단체, 텅장, 추억]",색다른 경험 많이 하고 갑니당 날씨에 좋네요,rainy_cold,female,25,ENTP,female,25,ISFJ
16,5,4,"[오운완, 친구, 이색, 가성비]",운동 잘 못하지만 이제 할게요^^,sunny_cold,female,28,ENTJ,female,28,ISFJ
17,3,5,"[데이트, 친구, 썸, 이색, 낭만, 텅장]",둘다 그림 좋아하는데 힐링하고 가요~,cloudy_cool,female,28,ENTJ,female,28,ISFJ
18,19,3.5,"[오운완, 친구]",날씨가 좋아서 아쉽긴 하네요ㅠ,sunny_warm,female,17,ENTP,female,17,ESFJ
